"No.","Date","Genre","Bibl","Hit"
"1","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__136 __speaker__136 Ja , das war ein ganz ausgezeichnetes Buch , interessanterweise war es auch Rollenprosa und er hat auch mit verstellter Stimme , und zwar noch mehr mit den verstellten Stimmen von Barockautoren , in denen sich aber auch zeitgenossische Autoren gespielt haben , gesprochen , äußerst kunstvoll , äußerst raffiniert ."
"2","1997-06-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Juni 1997","__speaker__158 Er schreibt ein ausgezeichnetes Deutsch , eins , das mir großen Spaß macht , aber ich weiß nicht , ob es Reportagen sind , die er geschrieben hat ."
"3","1996-04-26","Gesprochene Sprache","Das Literarische Quartett vom 26. April 1996","__speaker__136 __speaker__136 Er ist ein ausgezeichneter Beweis ."
"4","1995-02-23","Gesprochene Sprache","Das Literarische Quartett vom 23. Februar 1995","__speaker__136 Es hat ein ganz ausgezeichnetes Nachwort , dieses Buch , __speaker__137 Ja , ja , ja ."
"5","1995-02-23","Gesprochene Sprache","Das Literarische Quartett vom 23. Februar 1995","__speaker__136 Das ist übrigens ein ganz ausgezeichnetes und sehr differenziertes Nachwort , der ihn auch ziemlich genau historisch positioniert , finde ich ."
"6","1995-02-23","Gesprochene Sprache","Das Literarische Quartett vom 23. Februar 1995","__speaker__159 __speaker__159 Klar. __speaker__137 Aber ich wollte sagen , beim Ferguson , den Sie erwähnen , dass er eine ausgezeichnete Hamsun-Biographie . . . , da steht dann auch , dass Ibsen das sogar eingesehen hat , das ist das Merkwürdige !"
"7","1994-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 1994","__speaker__137 Es gibt ganz ausgezeichnete Roth-Verfilmungen , zum Beispiel Das falsche Gewicht mit Qualtinger , eine der wichtigsten Fernsehleistungen der sechziger Jahre ."
"8","1994-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 1994","__speaker__136 Ich fand das zwar einerseits eine neue Verfremdungsebene , wenn die Menschen in einem merkwürdigen amerikanischen Süden so sprechen , aber ich habe schon verstanden , was der Übersetzer , der übrigens ein ausgezeichneter McCarthy-Übersetzer ist , gemacht hat ."
"9","1994-11-04","Gesprochene Sprache","Interview IS045A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Tel Aviv, 1994","[...]__speaker__679UndsohatmantatsächlichausgezeichnetesMaterial,Menschenmaterialgefunden,auchvielederähähAbiturantenderjüdischenSchulen,fürdiewardaseineinmust,zumPalmachzugehen.ÄheswareinebesondersguteguteEinheit,dieaucheinebesondersguteAusbildungbekam,keinandererkonntesichis/erlauben,vierzehnTagejedenMonatähsichebenausbildenzulasseninininjederBeziehung,ähabereswarnichtnurdasAusbildenähinberuflicherWeiseundimMilitärwesen,sondernauchdasmoralischeähdermoralischeähHintergrunddazu,ohnejedenZweifel,ähderPalmach,ohnedieMotivation,diedabeiwar,undohnedieausgezeichneteähFührung,dieerbekam,ähdieTatsache,daßertatsächlichähsehr,sehrgutesMaterialhatte,mitdenenichzusammenwarindenverschiedenenKursenundimmernursagenkonnte,dassinddieBestenäh,diehabensichdabeiausgezeichnetundwarentatsächlichdieElitegruppen,dieauchdenähbestimmtdenAnfangdesBefreiungskriegesgeführthaben,ohnejedenZweifel. [...]"
"10","1994-11-04","Gesprochene Sprache","Interview IS045A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Tel Aviv, 1994","[...],fürdiewardaseineinmust,zumPalmachzugehen.ÄheswareinebesondersguteguteEinheit,dieaucheinebesondersguteAusbildungbekam,keinandererkonntesichis/erlauben,vierzehnTagejedenMonatähsichebenausbildenzulasseninininjederBeziehung,ähabereswarnichtnurdasAusbildenähinberuflicherWeiseundimMilitärwesen,sondernauchdasmoralischeähdermoralischeähHintergrunddazu,ohnejedenZweifel,ähderPalmach,ohnedieMotivation,diedabeiwar,undohnedieausgezeichneteähFührung,dieerbekam,ähdieTatsache,daßertatsächlichähsehr,sehrgutesMaterialhatte,mitdenenichzusammenwarindenverschiedenenKursenundimmernursagenkonnte,dassinddieBestenäh,diehabensichdabeiausgezeichnetundwarentatsächlichdieElitegruppen,dieauchdenähbestimmtdenAnfangdesBefreiungskriegesgeführthaben,ohnejedenZweifel. [...]"
