"No.","Date","Genre","Bibl","Hit"
"1","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Sie reden so gut über Literatur , das war so ausgezeichnet , aber ausgerechnet mit dieser unseriösen Wissenschaft der Geschichtsschreibung befassen Sie sich ."
"2","2001-04-23","Gesprochene Sprache","Böckem, Jörg / Dallach, Christoph, ""Die Nummer eins bin ich"", in: Der Spiegel 23.04.2001, S. 86, 88 u. 90","__speaker__433 __speaker__433 Sie sind noch nicht mal 35 ­ und wurden Anfang dieses Jahres bei der Verleihung der American Music Awards mit einem Ehrenpreis für Ihr Lebenswerk ausgezeichnet ."
"3","2000-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 2000","__speaker__135 Und ich meine , ich bin ein Anhänger des Satzes , es gibt einen sehr schönen Satz von Heine : Man soll nicht mit den Lorbeeren , mit denen Autoren früher gekrönt oder ausgezeichnet wurden , mit den Lorbeeren die Zeitgenossen peitschen ."
"4","2000-11-20","Gesprochene Sprache","Simons, Stefan, ""Eine verstörte Nation"", in: Der Spiegel 20.11.2000, S. 202, 204, 206 u. 202","__speaker__565 Kennedy , 55 , wird in dieser Woche in London mit dem Orden "" Commander of the British Empire "" ausgezeichnet ."
"5","2000-11-13","Gesprochene Sprache","Knaup, Horand / Sauga, Michael / Schäfer, Ulrich, ""Wir tricksen nicht"", in: Der Spiegel 13.11.2000, S. 25-26","__speaker__21 __speaker__21 Bei den meisten Veranstaltungen , die ich persönlich besuche , klappt das ausgezeichnet ."
"6","2000-08-18","Gesprochene Sprache","Das Literarische Quartett vom 18. August 2000","__speaker__137 Das Buch ist dadurch ausgezeichnet , dass es diesen Leuten , die Schulden haben , die eine neue Frau ins Bett haben wollen , die mit ihren Kindern Probleme haben , die ausgespitzelt werden - __speaker__157 . . Was Updike ein Leben lang beschreibt ."
"7","2000-08-07","Gesprochene Sprache","Schreiber, Mathias / Beyer, Susanne, ""Es war ein schwerer Bruch"", in: Der Spiegel 07.08.2000, S. 93-96 u. 94-96","__speaker__433 Was hat diese Spannung ausgezeichnet ?"
"8","2000-03-06","Gesprochene Sprache","Widmann, Carlos / Zuber, Helene, ""Ein Rezept für Europa"", in: Der Spiegel 06.03.2000, S. 165-167","__speaker__600 __speaker__600 Ich verstehe mich in diesem Punkt mit Tony Blair ganz ausgezeichnet ."
"9","2000-02-25","Gesprochene Sprache","Das Literarische Quartett vom 25. Februar 2000","__speaker__136 Diese Geschichte , mit diesem Dingsymbol drinnen , die fand ich schon ganz hervorragend , die ist auch wunderbar durchgearbeitet , die läuft auch in einer Stringenz dann auf eine Pointe zu , die fand ich ganz ausgezeichnet ."
"10","1999-07-02","Gesprochene Sprache","40. Sitzung des 14. Bundestages","__speaker__93 Leider hat sich die politische Auseinandersetzung in den vergangenen Wochen und Monaten auch hier im Bundestag zu häufig durch den Austausch von Emotionen , von Vorurteilen und von Glaubensbekenntnissen ausgezeichnet ."
"11","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__136 So weit , würde ich sagen , ist diese Geschichte ganz ausgezeichnet ."
"12","1998-11-10","Gesprochene Sprache","3. Sitzung des 14. Bundestages","__speaker__14 Die Klimaforscher und die vorbildlichen Unternehmen , die vor ein paar Tagen mit dem Bundesumweltpreis ausgezeichnet worden sind , haben der Politik ins Stammbuch geschrieben - wir werden das beachten - : Gerade beim Klimaschutz dürfen die Verantwortlichen nicht auf Erkenntnisse über weitere Schädigungen unserer Umwelt warten ; sie müssen aktive Vorsorge treffen ."
"13","1997-09-01","Gesprochene Sprache","o.A., ""Mancher Dichter fand es grausam"", in: Der Spiegel 01.09.1997, S. 214-216 u. 218-219","__speaker__135 Zum Beispiel habe ich Böll , der 1951 ausgezeichnet worden war , nur einmal auf einer Tagung erlebt : Er kam für eine Stunde und verschwand wieder ."
"14","1997-06-02","Gesprochene Sprache","o.A., Europas Spitze?, in: Der Spiegel 02.06.1997, S. 124-126","__speaker__551 Der war ein minderbemittelter Fußballer , und wir haben das einzige genutzt , das ihn ausgezeichnet hat : Das war sein Kopf - und den hat der Kaltz immer getroffen ."
"15","1996-08-16","Gesprochene Sprache","Das Literarische Quartett vom 16. August 1996","__speaker__166 __speaker__166 Das ist ausgezeichnet ."
"16","1996-04-26","Gesprochene Sprache","Das Literarische Quartett vom 26. April 1996","__speaker__136 Ich würde auch sagen und dem Herrn Karasek beistimmen , dass es ausgezeichnet übersetzt ist ."
"17","1995-07-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Juli 1995","__speaker__135 Und das zeigt er in dem Buch ausgezeichnet ."
"18","1995-02-23","Gesprochene Sprache","Das Literarische Quartett vom 23. Februar 1995","__speaker__159 __speaker__159 Also , wenn Sie sagen , Thriller , professionell gemacht , dann ist das sicher richtig , aber ich habe das wirklich als Gegenwartsroman gelesen , als Roman für sich , ein Roman über Medien , ein Medienroman , und er hat mir , um das gleich zu sagen , ausgezeichnet gefallen , weil er sehr gekonnt gemacht ist ."
"19","1994-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 1994","__speaker__176 __speaker__176 Die Übersetzung von Wolf ist ausgezeichnet , das ist sehr gut gemacht ."
"20","1994-11-04","Gesprochene Sprache","Interview IS045A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Tel Aviv, 1994","[...]inininjederBeziehung,ähabereswarnichtnurdasAusbildenähinberuflicherWeiseundimMilitärwesen,sondernauchdasmoralischeähdermoralischeähHintergrunddazu,ohnejedenZweifel,ähderPalmach,ohnedieMotivation,diedabeiwar,undohnedieausgezeichneteähFührung,dieerbekam,ähdieTatsache,daßertatsächlichähsehr,sehrgutesMaterialhatte,mitdenenichzusammenwarindenverschiedenenKursenundimmernursagenkonnte,dassinddieBestenäh,diehabensichdabeiausgezeichnetundwarentatsächlichdieElitegruppen,dieauchdenähbestimmtdenAnfangdesBefreiungskriegesgeführthaben,ohnejedenZweifel. [...]"
"21","1994-11-04","Gesprochene Sprache","Interview IS045A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Tel Aviv, 1994","__speaker__679 In den ersten Monaten , ich war so überrascht , ich glaubte , daß ich ausgezeichnet Deutsch konnte , das war auch wahr ."
"22","1994-04-26","Gesprochene Sprache","Interview IS054A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Ramat Chen, 1994","__speaker__681 , so schien es mir damals also zu seiner absolut neutralen Haltung zurückgekehrt und zu einem äh Blatt , das sich ausgezeichnet hat durch ausgezeichnetes Deutsch ."
"23","1994-02-24","Gesprochene Sprache","Das Literarische Quartett vom 24. Februar 1994","__speaker__136 Ich habe ihn als Kritiker immer sehr geschätzt und bewundert , und ich bin ganz entzückt darüber , dass er den besonderen Witz und die Lakonie , die seine Kritiken immer ausgezeichnet haben , nun auch auf die Welt und auf sein Leben ausdehnt ."
"24","1994-02-24","Gesprochene Sprache","Das Literarische Quartett vom 24. Februar 1994","__speaker__137 Und das hat ihn auch als Kritiker ausgezeichnet ."
"25","1993-10-05","Gesprochene Sprache","Interview IS048A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Kfar Ruppin, 1993","__speaker__680 Sie heißt ( Almut Degger ) und ist ein sehr positiv eingestellter Mensch , positiv für Israel , und sie hat eben diese Jungen wahrscheinlich ein beeinflußt durch ihr Wissen und ihren Unterricht , daß sie den Leu/ diese Jugendgruppen , daß sie äh dieses Projekt übernommen haben und damit sie ausgezeichnet haben und Positives getan hat , natürlich nicht nur die Arbeit selber am Friedhof , sondern dadurch haben sie erfahren , was in Deutschland geschehen ist und was Juden sind und was Juden waren und so weiter ."
"26","1993-05-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Mai 1993","__speaker__163 Ich finde , der Köpf ist ein ausgezeichnet schreibend könnender Autor , wenn er ein Thema hat , das ihm liegt , wie beispielsweise Innerfern , wo er ein bisschen gemogelt hat , und wie Piranesis Traum , das ja auch ziemlich spannend war ."
