"No.","Date","Genre","Bibl","Hit"
"1","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 - Unter uns , niemand hat eine so fabelhafte Sprache wie Hofmannsthal in diesem Brief geschrieben , in dem er sagt , er habe keine Sprache ."
"2","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Und dieser langweilige verstaubte Karenin , der Ehemann der Anna Karenina , und immer sind die Partner der Anna Karenina interessant : der Bronski , fabelhaft , dieser Offizier , und die Leute , die die Emma verführen , lauter fabelhafte Leute ."
"3","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Das ist ein fabelhafter Satz , er trifft genau in das Buch , er widerlegt die ganzen rühmenden Passagen in dieser Kritik , am Anfang , am Ende und überall ."
"4","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Das ist ein völlig missratener Roman eines fabelhaften Erzählers ."
"5","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__139 Also , dieses Blütenlesen - __speaker__135 Deswegen habe ich doch am Anfang gesagt : ein fabelhafter Erzähler , ein missratener Roman ."
"6","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__139 __speaker__139 Also erst mal muss ich eins ganz grundlegend . . . . Ich finde , das ist ein fabelhaftes Buch. __speaker__137 Ja ."
"7","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__135 Ein fabelhafter Autor , und wenn es ein Buch gibt , das wir heute so aus vollem Herzen ganz und gar empfehlen können , dann dieses ."
"8","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__135 Und dann ist noch etwas : Er ist ein fabelhafter Beobachter ."
"9","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__139 Ich finde es ein fabelhaftes Buch , aber ich finde , er hat sich schon viel vorgenommen ."
"10","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__135 __speaker__135 Ja , aber wenn ich das so höre , wie mein Freund Karasek das alles schildert , sehe ich doch , das ist ein fabelhaftes Buch. . . . Das ist doch eigentlich ein glänzendes Buch. __speaker__137 Ich wollte nichts anderes sagen ."
"11","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__135 __speaker__135 Übrigens hier ist ein fabelhafter Trick , wenn man so sagen darf , von Maupassant ."
"12","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__135 Es ist kein bekanntes Buch , das ist ein fabelhafter Roman ."
"13","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__135 Es ist in Deutschland übersehen worden und es ist ein fabelhafter Liebesroman ."
"14","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__135 Wenn ich Garcia Marquez lese , muss ich gar nicht berücksichtigen , aus welcher Tradition das kommt , das ist einfach fabelhafte Literatur , und ich spüre , » mea res agitur « , hier geht es auch um mein Leben , auch bei dem Maupassant und der Shalev ."
"15","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Der Mann kann erzählen , das ist ja was ganz Außerordentliches , er ist ein fabelhafter Erzähler !"
"16","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Es ist eigentlich ein fabelhaftes Buch und das ist hoch erfreulich !"
"17","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__139 . . __speaker__135 Ein fabelhafter Schriftsteller und der Ruhm , den er hat , dass das die neue tolle Literatur Amerikas ist , ist berechtigt - ein toller Schriftsteller !"
"18","2001-03-02","Gesprochene Sprache","Das Literarische Quartett vom 2. März 2001","__speaker__135 Und man muss sie verteidigen , indem man weiß , wir haben doch gute Wissenschaftler , Mediziner , fabelhafte Mediziner ."
"19","2001-03-02","Gesprochene Sprache","Das Literarische Quartett vom 2. März 2001","__speaker__135 __speaker__135 Das ist das Erstaunliche in diesem Buch - die fabelhafte Logik , Intelligenz und Beobachtungsgabe von Haffner ."
"20","2000-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 2000","__speaker__135 Aber . . . es ist mein Recht zu sagen , mir ist lieber die fabelhafte Beschreibung der Intelligenz eines Menschen und nicht der Dummheit ."
"21","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Die Kronauer ist mein Fall , das ist ein ganz großes Talent , eine fabelhafte Schriftstellerin , und in diesem Roman gibt es Kapitel , die das beweisen !"
"22","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Der Roman enthält fabelhafte Kapitel , die dieses Talent beweisen und ist als Struktur , als Ganzes __speaker__139 Nein , nein ."
"23","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Mir hat ein Kollege , ich werde mich hüten , den Namen zu nennen , gesagt , das ist ein fabelhaftes Buch , aber ich soll mir die Kapitel dies , dies und dies schenken , denn die sind völlig überflüssig ."
"24","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Ich halte das also nicht . . . - als Buch - gelungen , aber die Frau als Autorin ist eine fabelhafte Erscheinung ."
"25","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Proust hat sie zweimal gelesen und dann bedauert sie , es ist unmögliche Literatur - was ist große fabelhafte Literatur ?"
"26","2000-08-18","Gesprochene Sprache","Das Literarische Quartett vom 18. August 2000","__speaker__135 Das heißt : Eine Frau , verheiratet mit einem langweiligen , braven , anständigen Mann , so brav und so anständig wie Charles Bovary oder Karenin , und lernt einen jungen , fabelhaften Mann kennen , der sie hinreißt wie Wronski bei der Anna Karenina und die vielen Liebhaber der Madame Bovary ."
"27","2000-08-18","Gesprochene Sprache","Das Literarische Quartett vom 18. August 2000","__speaker__135 Was Sie jetzt gesagt haben , ist der fabelhafte Abschluss , lassen Sie die Leser noch was finden , Sie erzählen alle wichtigen Momente ."
"28","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__135 Der Roman hat eine fabelhafte Kritik bekommen und stand gleich auf dem ersten Platz der Baden-Badener Liste ."
"29","2000-03-06","Gesprochene Sprache","Kronsbein, Joachim, ""Wir werden oft verführt"", in: Der Spiegel 06.03.2000, S. 235-237","__speaker__599 Der sagte immer über den fabelhaften mexikanischen Kollegen Henryk Szeryng : "" Weißt du , Gidon , immer wenn ich im Rundfunk einen fabelhaften Geiger höre , den ich nicht erkenne , dann stellt sich nachher heraus , dass es Szeryng war ."
"30","2000-03-06","Gesprochene Sprache","Kronsbein, Joachim, ""Wir werden oft verführt"", in: Der Spiegel 06.03.2000, S. 235-237","__speaker__599 Der sagte immer über den fabelhaften mexikanischen Kollegen Henryk Szeryng : "" Weißt du , Gidon , immer wenn ich im Rundfunk einen fabelhaften Geiger höre , den ich nicht erkenne , dann stellt sich nachher heraus , dass es Szeryng war ."
"31","2000-02-25","Gesprochene Sprache","Das Literarische Quartett vom 25. Februar 2000","__speaker__135 Und Erzählungen , die in einer solchen Prosa geschrieben werden , intelligent sind und Probleme unserer Zeit behandeln , sind sehr wichtig , sehr erfreulich und Gott geb , dass wir mehr so fabelhafte Autoren haben wie den Schlink ."
"32","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__135 Das war ja auch ein fabelhafter Lyriker ."
"33","1999-10-29","Gesprochene Sprache","Das Literarische Quartett vom 29. Oktober 1999","__speaker__135 Thomas Bernhard , um den Namen zu nennen , weil er hier schon genannt wurde , steht nicht auf der Weltliteratur , die Jahrhunderte vor ihm entstanden ist , und ist ein fabelhafter Schriftsteller ."
"34","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Jetzt haben Sie gesagt , Clavigo , fabelhaftes Stück - ich bin mit Ihnen einverstanden ."
"35","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Aber ich will nun zu den Theateraufführungen kommen : Sie haben gesagt , Clavigo , da sind Sie gewissermaßen bis heute unter dem Einfluss der damals wirklich fabelhaften Kortner-Inszenierung ."
"36","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Er hat den Fischer zitiert hier , schon ein fabelhaftes Gedicht ."
"37","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__135 Was mich aber so wundert , was ich nicht recht begreifen kann , ist , dass ein Künstler wie Grass mit einem solchen ästhetischen Feingefühl , ein Mann , der so fabelhafte Sachen geschrieben hat , dass er nicht gemerkt hat , dass dieser Plan tödlich ist , dass man nicht hundert Geschichten jeweils in der gleichen Länge produzieren kann , die das Jahrhundert zeigen ."
"38","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__135 Das schien mir eine seiner späten fabelhaften Arbeiten ."
"39","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__135 Wir können uns nicht mehr damit beschäftigen , wir können nur am Schluss sagen : Arthur Schnitzler , ein fabelhafter Schriftsteller , lest so oft wie möglich diesen grandiosen Erzähler !"
"40","1999-08-09","Gesprochene Sprache","Umbach, Klaus, ""Ich will noch sehr viel lernen"", in: Der Spiegel 09.08.1999, S. 152 u. 154-156","__speaker__433 __speaker__433 Der angesehene deutsche Feuilletonist Joachim Kaiser hat in der "" Süddeutschen Zeitung "" gemäkelt , es scheine ihm "" anfechtbar , den fabelhaften Rattle ausgerechnet mit den Berliner Philharmonikern zu verheiraten "" . Also eine Mesalliance ?"
"41","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__135 Da ist ein Buch von 450 Seiten , ein fabelhaftes , ungewöhnliches Buch , __speaker__148 Ja , Moment ."
"42","1999-03-05","Gesprochene Sprache","Das Literarische Quartett vom 5. März 1999","__speaker__135 Es ist ein fabelhafter Roman , und das ist ein Ereignis , und das sollten wir nicht untergehen lassen , in irgend- welchen Nebenerwägungen , die auch nötig waren und sind ."
"43","1998-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1998","__speaker__136 __speaker__136 Ich würde sagen , das ist - __speaker__137 Es gibt die Wüste - __speaker__136 Entschuldigen Sie , Herr Reich-Ranicki , es gibt eine ganz fabelhafte Frauenfigur , die Ihnen entgangen ist in diesem Roman , das ist die Künstlerin Klara Sax. __speaker__137 Die Künstlerin , die ist mir nicht entgangen ."
"44","1998-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1998","__speaker__135 Die Situation ist doch folgende : Dieser Autor , der ganz früh , als Jugendlicher , Halbwüchsiger , nach Amerika gekommen ist und dort eine fabelhafte Karriere als Rechtsanwalt gemacht hat , hat im Alter von knapp sechzig Jahren einen autobiographischen Roman geschrieben ."
"45","1998-10-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Oktober 1998","__speaker__137 __speaker__137 Sie hat ein fabelhaftes Urteil ."
"46","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__137 Der eine erzählt ihr , er hat wieder fabelhafte Aphorismen geschrieben , der andere erzählt , wie viele Frauen er wieder erobert hat , und so weiter und so fort , dass sie dann immer sagt : » Falsch verbunden « und allein bleibt in dem Moment ."
"47","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__154 __speaker__154 Sie schreibt ein im Wortsinn fabelhaftes Deutsch ."
"48","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__135 __speaker__135 Herr Hamm , Arthur Koestler hat in seiner Autobiographie mal geschrieben , als er nach Deutschland kam , lange vor Hitler , und seine ersten deutschen Bücher schrieb , waren die Verlagslektoren hingerissen : Was für fabelhafte Bilder !"
"49","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__136 Der Roman ist sehr clever gemacht , sehr clever erzählt - __speaker__135 . . Das ist eine fabelhafte Formulierung : clever gemacht !"
"50","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Es ist ein ganz großer Könner , ein fabelhafter Handwerker ."
"51","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Die Ähnlichkeit : Beide haben einen fabelhaften Vorzug , alle ihre Figuren sind intelligent ."
"52","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Das hat er in einem ganz gelösten Deutsch mit fabelhaften , natürlichen Dialogen erzählt ."
"53","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Und was mir an dem Stil auffällt - man soll nicht von Leuten verlangen , dass sie schreiben wie Thomas Mann , aber mal umgekehrt herum : Thomas Mann , genialer Stilist , aber einer , wenn der einen fabelhaften Abschnitt geschrieben hat , dann habe ich den Eindruck , er guckt hoch , blickt auf den Leser und winkt dem Leser : » Du musst doch zugeben , das habe ich fabelhaft gemacht , den Abschnitt ."
"54","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Und hier ist ein erzähltes , wirklich erzähltes Buch. Was mir so gefällt an dem Buch , um noch ein Beispiel zu geben , sind die fabelhaften Dialoge ."
"55","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Er erzählt uns , in was für fabelhaften Luxusrestaurants er 1941 , 1942 gegessen hat in Berlin ."
"56","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__135 Kerr sahen wir bisher als den interessantesten , originellsten Theaterkritiker der ersten Hälfte dieses Jahrhunderts , wir sehen ihn jetzt als einen fabelhaften Feuilletonisten ."
"57","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__135 Dieses Buch , über das wir hier im Literarischen Quartett gesprochen haben , ein hervorragendes Buch , das natürlich - um Gottes willen , das ist kein Vorwurf - lebt , weil es ein unerhört wichtiges Thema auf neue Weise zeigt , große Teile aus der Perspektive des Kindes , ein fabelhaftes Buch mit einem Welterfolg ."
"58","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__135 Kurz - ein fabelhaftes Buch !"
"59","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__135 Man soll nicht , es gibt ein fabelhaftes Wort - __speaker__137 . . Die Demonstration ist - der zweite Teil ist auch gut ."
"60","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__135 Wissen Sie , es gibt ein fabelhaftes Wort , ich werde Sie jetzt enttäuschen - weder Fontane noch Thomas Mann. . . . Es gibt ein fabelhaftes Wort von Max Frisch : » Die Kritiker nehmen eine Kartoffel , schneiden sie zurecht , bis sie die Form einer Birne haben , dann beißen sie hinein und sagen : Schmeckt gar nicht wie Birne ."
"61","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__135 Wissen Sie , es gibt ein fabelhaftes Wort , ich werde Sie jetzt enttäuschen - weder Fontane noch Thomas Mann. . . . Es gibt ein fabelhaftes Wort von Max Frisch : » Die Kritiker nehmen eine Kartoffel , schneiden sie zurecht , bis sie die Form einer Birne haben , dann beißen sie hinein und sagen : Schmeckt gar nicht wie Birne ."
"62","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 Eben hat Frau Löffler gesagt : meisterhaft , präzise , fabelhafte Präzision , besser als je oder jedenfalls auf hoher Ebene ."
"63","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 __speaker__135 Ah , da haben wir uns geeinigt , ein fabelhafter Schriftsteller , nur schreibt er lauter schreckliche Romane ."
"64","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 Es ist eine fabelhafte Bettszene drin - diese Liebesszene mit dem Jungen , der zum ersten Mal mit einer Frau im Bett liegt , sehr schön geschrieben , gut ."
"65","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 Das Buch ist geschrieben - ich betone das ausdrücklich , weil ich nachher vieles gegen das Buch zu sagen habe - von einer Autorin mit großer Routine , mit einer fabelhaften handwerklichen Beherrschung ."
"66","1997-02-28","Gesprochene Sprache","Das Literarische Quartett vom 28. Februar 1997","__speaker__135 __speaker__135 Und noch eins - das ist eine fabelhafte Idee , ob das die Realität geliefert hat , die Idee , oder nicht , ist völlig gleichgültig ."
"67","1997-02-28","Gesprochene Sprache","Das Literarische Quartett vom 28. Februar 1997","__speaker__135 Er war schon als junger Autor in seinen fabelhaften frühen Geschichten ein Geschichtenerzähler , man könnte sagen , des Understatements , da ist sehr viel Understatement ."
"68","1996-11-11","Gesprochene Sprache","o.A., ""Wie am Lagerfeuer"", in: Der Spiegel 11.11.1996, S. 142-144","__speaker__507 Werbespots sind ein fabelhaftes Format , um zu experimentieren ."
"69","1996-10-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Oktober 1996","__speaker__135 Oder die fabelhafte Szene in der Entziehungsanstalt , wo seine ehemalige Frau ist , die er auch schildert - __speaker__136 . . In der Entziehungsanstalt - ist Ihnen das aufgefallen ?"
"70","1996-10-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Oktober 1996","__speaker__135 Er ist mit einer braven Frau verheiratet , eine überaus glückliche , fabelhafte Ehe , die Idylle wird sehr betont ."
"71","1996-08-16","Gesprochene Sprache","Das Literarische Quartett vom 16. August 1996","__speaker__135 Wohl deshalb , weil im ersten und zweiten Band eine fabelhafte zentrale Figur war , nämlich der Vater ."
"72","1996-08-16","Gesprochene Sprache","Das Literarische Quartett vom 16. August 1996","__speaker__135 Die Sache spielt in einer ganz bestimmten Zeit , das hätte nicht um 1800 spielen können , das ist genau diese Zeit 1900/1905 . Wie er die technischen Dinge reinbringt , fabelhafte Kleinigkeiten , ich habe solche Details gern ."
"73","1996-06-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Juni 1996","__speaker__137 Es ist ein fabelhaftes Buch , und die Sätze , die gehetzten Sätze , erzählen es ."
"74","1995-08-24","Gesprochene Sprache","Das Literarische Quartett vom 24. August 1995","__speaker__135 Der Mann hat einige fabelhafte hochinteressante Bücher geschrieben , und die Frage bleibt nicht unbeantwortet , Ihre Antwort ist nichts , taugt hier nichts ."
"75","1995-08-24","Gesprochene Sprache","Das Literarische Quartett vom 24. August 1995","__speaker__135 Aber was immer ich gegen den Butt hatte , ich habe damals auch geschrieben , da waren einige fabelhafte Episoden , da war das Kapitel » Der Vatertag « , da waren fünfzig bis siebzig Seiten , da habe ich gesagt , so kann nur Grass schreiben ."
"76","1995-02-23","Gesprochene Sprache","Das Literarische Quartett vom 23. Februar 1995","__speaker__135 Simmel ist kein Stilist , und ihm nachzuweisen , dass ihm Sätze misslingen , ganze Passagen und Partien , kann jeder von uns , aber Simmel hat , wie kaum ein anderer zeitgenössischer Autor , einen fabelhaften Blick für Themen , Probleme , Motive - muss man anerkennen ."
"77","1995-02-23","Gesprochene Sprache","Das Literarische Quartett vom 23. Februar 1995","__speaker__135 Sie haben alle ja , wir haben fabelhafte Schriftsteller , Jean Paul und Theodor Fontane und andere - nichts , Europa hat sich nicht gekümmert um die , leider , bedauerlich , aber so ist es ."
"78","1994-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 1994","__speaker__135 Es ist ein gescheitertes Unternehmen , denn es enthält eine fabelhafte Geschichte von Kertész und eine leichtsinnig danebengestellte von Esterházy ."
"79","1994-08-25","Gesprochene Sprache","Das Literarische Quartett vom 25. August 1994","__speaker__135 Alle sind wir uns einig : Das ist fabelhafte Literatur ."
"80","1994-08-25","Gesprochene Sprache","Das Literarische Quartett vom 25. August 1994","__speaker__135 Ich frage : Warum ist das so fabelhafte Literatur ?"
"81","1994-03-31","Gesprochene Sprache","Das Literarische Quartett vom 31. März 1994","__speaker__135 Der referiert das Buch sehr ausführlich und offenbar findet er es doch beachtlich , das Buch. Am Ende sagt er etwas ganz Überraschendes , einen fabelhaften letzten Satz : Nämlich er sagt : » Nachdem ich das zu Ende gelesen habe , habe ich mir gedacht , daraus wird wahrscheinlich ein ganz guter Film entstehen und sonst ist gar nichts geblieben ."
"82","1994-02-24","Gesprochene Sprache","Das Literarische Quartett vom 24. Februar 1994","__speaker__135 Kurz , ein fabelhafter Roman ."
"83","1993-12-12","Gesprochene Sprache","Das Literarische Quartett vom 12. Dezember 1993","__speaker__135 Das alles merkt man in dem Buch , das ist ein ganz musikalisches , erotisches Buch , ein fabelhafter Rhythmus , mit einer großen Leichtigkeit geschrieben ."
"84","1993-10-21","Gesprochene Sprache","Das Literarische Quartett vom 21. Oktober 1993","__speaker__135 Natürlich , so ein Kerl wie Hemingway , mit dieser enormen Kraft , die der Hemingway in diesem fabelhaften frühen Buch In einem anderen Land entwickelt hat , ist dieser Ondaatje nicht ."
"85","1993-10-21","Gesprochene Sprache","Das Literarische Quartett vom 21. Oktober 1993","__speaker__135 Man wollte ihn kaum lesen , ein so fabelhaftes Buch wie der satirische Roman Pnin hatte zunächst überhaupt kein Echo ."
"86","1993-08-15","Gesprochene Sprache","Das Literarische Quartett vom 15. August 1993","__speaker__135 __speaker__135 Ein fabelhaftes Buch !"
"87","1993-08-15","Gesprochene Sprache","Das Literarische Quartett vom 15. August 1993","__speaker__135 Schreiben kann er , und er ist ein merkwürdiger Außenseiter : Da schreibt einer ein solches Buch mit einer Anzahl fabelhafter Episoden , der sich überhaupt nicht kümmert um die Literatur unseres Jahrhunderts ."
"88","1993-05-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Mai 1993","__speaker__135 Diese Figur , das Mädchen , Beatrice , ich finde , es ist eine fabelhafte Figur , und die hat mich am meisten interessiert ."
"89","1993-05-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Mai 1993","__speaker__163 Hellmuth , ich habe fabelhafte Notizen , aber ich darf sie ja nicht vorlesen ."
"90","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__135 Das sind fabelhafte Geschichten ."
"91","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__135 __speaker__135 Was für eine fabelhafte Epik ."
"92","1993-01-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Januar 1993","__speaker__135 Es ist interessant , wenn wir die beiden Bücher nebeneinander stellen , die Ruth Klüger und dieses Buch. Bei der Ruth Klüger glaubte ich , von einer fabelhaften Sprachkraft , aber einer , wie soll man sagen , zarten Kraft - __speaker__137 Aber Sebalds Sprachkraft ist um nichts geringer !"
"93","1993-01-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Januar 1993","__speaker__135 Butor hat fabelhafte zwei , drei Bücher , Paris - Rom , Zeitplan und dergleichen geschrieben ."
"94","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__135 __speaker__135 Einer der intelligentesten seiner Generation , ein fabelhafter Essayist - das wissen wir , er hat ja im Laufe der Jahre oft essayistische Bücher publiziert - und ein origineller Denker ."
"95","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__135 Ja , Updike , der weltberühmte Updike , ist ein fabelhafter Schriftsteller , ich liebe ihn ."
"96","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__135 Die Sache ist wohl die , dass dieser Amos Oz ein außerordentlicher , fabelhafter Kerl ist , ein Essayist , ein politischer Publizist , ein Friedenskämpfer ."
"97","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__135 Wir sagen ja , edler , fabelhafter Mann. Aber großer Dichter ?"
"98","1992-05-28","Gesprochene Sprache","Das Literarische Quartett vom 28. Mai 1992","__speaker__135 Ich finde , ihre Geschichten sind , ihre Novellen , früher vor allem , der eine Band Grenzüberschreitungen oder so ähnlich , das sind fabelhafte Geschichten - die sind alle bedeutender als ihre Romane ."
"99","1992-05-28","Gesprochene Sprache","Das Literarische Quartett vom 28. Mai 1992","__speaker__135 Und es sind daraus unerhört spannende , fabelhafte Bücher geworden ."
"100","1991-12-09","Gesprochene Sprache","Das Literarische Quartett vom 9. Dezember 1991","__speaker__135 __speaker__135 Aber es ist fabelhaftes Material , und __speaker__164 Es ist fabelhaftes Material ."
