"No.","Date","Genre","Bibl","Hit"
"1","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Ich bin mit allem , was Herr Karasek gesagt hat , vollkommen einverstanden , nur - ich finde das Buch fabelhaft !"
"2","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Aber es ist dennoch fabelhaft ."
"3","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Das ist fabelhaft !"
"4","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__138 Da wird die Wirklichkeit , nicht gerade das KaDeWe , aber eines Besprechungszimmers , eines Wartezimmers eines deutschen Arztes geschildert - fabelhaft !"
"5","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Hier Goethe - fabelhaft , die Ausdrucksmittel , ich weiß nicht , wer das früher getan hat ."
"6","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Das , was der Kollege Karasek gesagt hat , nun aus der anderen Perspektive , und plötzlich ist der Roman wieder fabelhaft , nachdem eine Durststrecke war , jetzt ist es hochinteressant ."
"7","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Und dieser langweilige verstaubte Karenin , der Ehemann der Anna Karenina , und immer sind die Partner der Anna Karenina interessant : der Bronski , fabelhaft , dieser Offizier , und die Leute , die die Emma verführen , lauter fabelhafte Leute ."
"8","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Aber diese Beziehung zwischen zwei Menschen ist fabelhaft dargestellt ."
"9","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Die erste Bettszene , die erste Nacht , die er mit der Staatsanwältin verbracht hat : fabelhaft geschrieben ."
"10","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Es ist fabelhaft dank der Sprache ."
"11","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__135 Er kann Situationen zeigen , und er kann fabelhaft Stimmungen zeigen ."
