"No.","Date","Genre","Bibl","Hit"
"1","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Und in der ersten Hälfte , die ersten hundert Seiten , nicht die Hälfte , aber die ersten hundert , hundertfünfzig Seiten : eine grandiose Episode nach der anderen ."
"2","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Aber alles in allem ein grandioser Schriftsteller , ein missratenes Buch. Das hätte man vielleicht retten können , wenn man 150 Seiten herausgeholt hätte ."
"3","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__137 Aber dieses Buch ist von einer grandiosen Einfachheit - der Vergleich mit Iphigenie ist sehr gut - es ist ein ganz schlüssiges Buch und nur dieser Autor kann auf diese Weise Didaktisches , Essayistisches und Erzähltes verbinden ."
"4","2001-03-02","Gesprochene Sprache","Das Literarische Quartett vom 2. März 2001","__speaker__135 Er ist nach dem Krieg als Korrespondent vom Observer nach Deutschland zurückgekehrt in den fünfziger Jahren , blieb dann in Berlin und hat einige grandiose Bücher veröffentlicht ."
"5","2000-08-14","Gesprochene Sprache","Beyer, Susanne / Höbel, Wolfgang, ""Das Spiel des Begehrens"", in: Der Spiegel 14.08.2000, S. 186 u. 189-190","__speaker__433 __speaker__433 Alle expliziten sexuellen Schilderungen , nehmen wir mal Harold Brodkeys grandiose Erzählung "" Unschuld "" , lassen Sie nicht als erotische Literatur gelten ?"
"6","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__141 Er hätte das Zeug , ein grandioses Buch zu schreiben , was er für mich in diesem leider nicht geschafft hat , weil er es auswalzt ."
"7","1999-09-17","Gesprochene Sprache","56. Sitzung des 14. Bundestages","__speaker__110 Es wäre aber im Interesse der Sache , wenn Sie sich auch einmal der Kritik an dem Programm stellen würden , statt ohne Unterlaß vom grandiosen Erfolg zu schwadronieren ."
"8","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__136 Es fängt ja an mit dieser wirklich grandiosen ersten Zeile : » Dem Geier gleich schwebe mein Lied ."
"9","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__135 Wir können uns nicht mehr damit beschäftigen , wir können nur am Schluss sagen : Arthur Schnitzler , ein fabelhafter Schriftsteller , lest so oft wie möglich diesen grandiosen Erzähler !"
"10","1998-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1998","__speaker__137 Nur wie Hoover eine Party in New York besucht , wie er seine unterdrückte Homosexualität behandelt , wie er Amerika auf der Latte hat in seinen Dokumenten , das ist eine grandiose Röntgenschau einer ganzen Gesellschaft ."
"11","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__137 __speaker__137 Es ist ein grandioses Buch. Also , platt - also nein ."
"12","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__137 __speaker__137 Also , niemand wird es wagen , den Ruhm von Joseph Conrad schmälern zu wollen , er ist wirklich ein grandioser Erzähler ."
"13","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__135 Aber bei Conrad stimmt es auch , und es ist dennoch grandiose Literatur ."
"14","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Wo gibt es auf dieser Erde noch Schriftsteller , die 120 grandiose Seiten schreiben können ?"
"15","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Es ist kein ganz gelungenes , es ist ein grandioses Buch !"
