"No.","Date","Genre","Bibl","Hit"
"1","2001-03-02","Gesprochene Sprache","Das Literarische Quartett vom 2. März 2001","__speaker__135 Und grandios , ungewöhnlich originell und interessant und überhaupt nicht überholt ."
"2","2000-08-18","Gesprochene Sprache","Das Literarische Quartett vom 18. August 2000","__speaker__135 Das ist fabelhaft übersetzt und ich frage mich - Mirjam Pressler heißt die Übersetzerin , sie sei lobend und rühmend hier erwähnt - , und ich frage mich im Stillen , ist das möglich , dass das im hebräischen Original so gut ist wie in der deutschen Übersetzung , denn die ist wirklich ganz grandios ."
"3","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__182 Der Mann , der die Wende so grandios über- standen hat , dieser Gebrauchtwagenhändler Willenbrock , hat einen sprechenden Namen , er hat einen starken Willen , aber Brock hängt zusammen mit » brechen « , » Brocken « , » gebrochen « . Dieser Wille wird im Laufe dieser Geschichte dann doch trotz seines Erfolges gebrochen , und es sind lauter kleine Katastrophen , die ich im Einzelnen nicht aufzählen will ."
"4","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__182 Ich muss sagen , diese Liebesgeschichte finde ich grandios , die finde ich grandios , ich kann es ja jetzt nicht begründen ."
"5","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__182 Ich muss sagen , diese Liebesgeschichte finde ich grandios , die finde ich grandios , ich kann es ja jetzt nicht begründen ."
"6","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__137 Das macht er in der Bar ganz grandios und sagt : » Habe ich das jetzt eben nur geträumt ?"
"7","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__182 __speaker__182 Aber wo ich Frau Löffler auch zustimmen würde , zu diesem großen Thema : Liebe und Tod sind in dieser einen Episode grandios verbunden , aber - __speaker__135 Immerhin , immerhin ."
"8","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__182 Es ist ei- gentlich ganz grandios erzählt eine Katastrophe ohne Katastrophen ."
"9","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__182 Grandios , grandios ."
"10","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__141 Und der ist grandios !"
"11","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Mit dem Clavigo , ich habe diese Inszenierung von Kortner gesehen , und sie war fabelhaft , sie war wirklich grandios mit Ausnahme des letzten Akts ."
"12","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__150 Und das macht sie ganz grandios , diese Themen werden alle nur ganz kurz angespielt , und dann gibt es eine so große Ökonomie in den Motiven , das ist ungeheuer reizvoll ."
"13","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__137 __speaker__137 Er bleibt grandios , das ist so , wie die Akropolis auch zerstört grandios ist ; das ist jetzt ein schiefer Vergleich , aber Sie wissen , was ich meine ."
"14","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__137 __speaker__137 Er bleibt grandios , das ist so , wie die Akropolis auch zerstört grandios ist ; das ist jetzt ein schiefer Vergleich , aber Sie wissen , was ich meine ."
"15","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__137 In vielen Kritiken war zu lesen , die ersten hundert Seiten oder achtzig Seiten sind grandios ."
"16","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 __speaker__135 Das vergnüglichste von den fünfen , über die wir heute reden , und grandios , ja virtuos geschrieben ."
"17","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__135 Ich finde das grandios geschrieben ."
