"No.","Date","Genre","Bibl","Hit"
"1","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Es gibt eine Passage , wo Werther sagt : » Ach , meine Liebe « , - im Brief natürlich an den Wilhelm - » Ja , meine Liebe ist die reinste , die feinste , die herrlichste , die sauberste ."
"2","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__135 Ich bin bereit , eine Liebesgeschichte , die in Nordgrönland spielt - . . . __speaker__137 Wir haben japanische Liebesgeschichten - __speaker__135 Wir haben bei dem japanischen Autor Murakami , ein herrlicher Autor , festgestellt : Eigentlich , das Wichtigste , wovon die Rede ist , ähnelt Europa schon sehr stark ."
"3","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Ich weiß , es gibt herrliche Träume , Castorp im Schnee da im Zauberberg , das ist eine Meisterprosa und ja , im Käthchen von Heilbronn , da träumt auch jemand ."
"4","2001-03-02","Gesprochene Sprache","Das Literarische Quartett vom 2. März 2001","__speaker__135 Thomas Mann hat herrliche Geschichten geschrieben mit seinem bestimmten Alter und dann hat er überhaupt keine kurzen Geschichten mehr schreiben können ."
"5","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 - meine Frau übertreibt , aber eine herrliche Stadt ist es tatsächlich ."
"6","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Dieses Buch hätte 150 Seiten kürzer sein sollen , herrlicher Roman , aber was soll man tun ?"
"7","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Er ist auch in Polen sehr gefeiert worden und zu Recht , aber der Stasiuk hat auch eine rein poetische , beachtliche Sache geschrieben über ein herrliches Dorf ."
"8","2000-04-14","Gesprochene Sprache","Das Literarische Quartett vom","__speaker__135 Und fünf Seiten weiter : Kein Land auf Erden hat eine so herrliche Atmosphäre , keines ist so ."
"9","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__135 Diese herrlichen Märchen !"
"10","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__135 Ich liebe Anthologien , vor allem Lyrikanthologien , weil ich - ich bitte , es mir nicht zu verübeln - ganz gerne sehe nicht den ganzen Mörike , die ganze Lyrik von Eichendorff oder Mörike - herrliche Dichter !"
"11","1999-10-29","Gesprochene Sprache","Das Literarische Quartett vom 29. Oktober 1999","__speaker__135 Wenn ich mir so denke , wie die beiden Männer philosophieren und mich daran erinnern , wie im herrlichen Zauberberg Settembrini und Naphta philosophieren , die tun es sehr viel leichter und gar nicht oberflächlicher ."
"12","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Und ich liebe dieses Stück bis heute und versuche verschiedenen Intendanten einzureden , sie sollen es doch wiederaufführen , dieses herrliche Stück !"
"13","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Wissen Sie , Liebe besteht oft darin , dass einer auf den andern wartet , das ist ein Liebesdrama vor allem , es ist ein politisches Drama , und die beiden großen herrlichen Dialoge , Egmont-Oranien , Egmont-Albert , sind ja hochpolitische Dialoge ."
"14","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Ich habe mich gerade mit dem Gedicht viel befasst , natürlich ein herrliches Gedicht , denn da ist ja klar , wen er meint ."
"15","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__137 Es kommt so gravitätisch daher . . . - __speaker__136 . . Aber das ist doch vielleicht , ist das überhaupt nicht das - __speaker__137 Ich glaube , der Mut des Buches - das hat Marcel Reich-Ranicki gesagt , und das tut dem Buch heute ein bisschen Unrecht - war in der Tat , dass es diese Frau gedrängt hat zu sagen , dass eine gleichgeschlechtliche Liebe nicht __speaker__135 Eine herrliche Liebe sein kann ."
"16","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__137 __speaker__137 eine herrliche Liebe sein kann ."
"17","1999-04-23","Gesprochene Sprache","Das Literarische Quartett vom 23. April 1999","__speaker__135 Wir machen also drauf aufmerksam : Dies ist bedeutende , herrliche Literatur , und ich meine , nicht so ganz leicht lesbar ."
"18","1998-10-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Oktober 1998","__speaker__135 Joseph Roth hat herrliche Briefe geschrieben für die ganze Welt , er hat immer den Adressaten vergessen und an alle geschrieben ."
"19","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__137 __speaker__137 Lassen Sie mich zur Psychologie noch einen Satz sagen , um auch dieses Mechanistische mancher Sprachbilder - wie gesagt , ich habe vorweg gesagt , es ist ein wunderbarer Roman mit herrlichen Findungen und einer tollen Hauptfigur ."
"20","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__135 Ein herrlicher Erzähler auf höchster Ebene ."
"21","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__135 Nur ein Unterschied ist : Karl May hat in einem simplen , billigen , schlechten Deutsch geschrieben , Conrad ist in einem herrlichen Englisch geschrieben ."
"22","1997-10-13","Gesprochene Sprache","Mettke, Jörg R., ""Bis zum siegreichen Ende"", in: Der Spiegel 13.10.1997, S. 224, 226, 228 u. 231","__speaker__606 Ich vertrete die Auffassung , daß wir genügend Land , genügend Menschen , genug von allen möglichen Ressourcen haben , um ein herrliches Leben aufzubauen ."
"23","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__177 __speaker__177 Ich erinnere mich auch an die früheren siebziger Jahre , ich erinnere mich an herrliche Theaterabende ."
"24","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__137 Ein herrlicher Satz der fünfziger Jahre , ja ."
"25","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__143 __speaker__143 Ja , und diese herrliche Szene , wo der publikumsscheue Handke mit seinem Kind im Zirkus sitzt , und ausgerechnet er soll da zu so einer Scheinhinrichtung auf die Bühne , und er tut es um des Kindes wegen , obwohl er es eigentlich gar nicht aushalten kann , in der Öffentlichkeit so in Erscheinung zu treten ."
"26","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 Man liest gerne die Erwähnungen musikalischer Werke , leider sind da immer Adjektive , es ist herrliche Musik , wunderbare Musik , Bach hat wunderbar komponiert , ergreifend ist Schubert , und Mozart ist so herzzerreißend ."
"27","1996-07-22","Gesprochene Sprache","o.A., ""Ich bin ja so gehemmt"", in: Der Spiegel 22.07.1996, S. 152-154","__speaker__541 __speaker__541 Das bedaure ich noch heute , ich hätte damals gerne mit ihm und den herrlichen Kollegen Bruno Ganz , Jutta Lampe und Edith Clever zusammengearbeitet ."
"28","1996-04-26","Gesprochene Sprache","Das Literarische Quartett vom 26. April 1996","__speaker__137 Es gibt herrliche Schilderungen , zum Beispiel wo ein kommunistischer Großunternehmer sich Lenin-Imitatoren einlädt , das sind wunderbare Geschichten ."
"29","1996-04-26","Gesprochene Sprache","Das Literarische Quartett vom 26. April 1996","__speaker__135 So schlecht es ist - ich weiß wovon ich rede , ich habe es mal aus dem Deutschen ins Polnische übersetzt - , so schlecht es ist , es enthält drei , vier herrliche Lieder ."
"30","1995-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 1995","__speaker__135 Es ist eine herrliche Übersetzung ."
"31","1995-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 1995","__speaker__135 Wenn das nicht von dem Mann stammte , der einige herrliche Romane geschrieben hat , einem der wichtigsten Schriftsteller seiner Generation , ob wir dieses Buch auch noch so aufmerksam lesen würden ?"
"32","1995-02-23","Gesprochene Sprache","Das Literarische Quartett vom 23. Februar 1995","__speaker__135 Man kann da auch sagen , Segen der Erde , einer der wenigen herrlichen Bauernromane der Weltliteratur , wenn man unbedingt will : Verherrlichung von Blut und Boden ."
"33","1994-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 1994","__speaker__135 So ein herrliches altes Österreich , wie er es uns geschildert hat , gab es nie ."
