"No.","Date","Genre","Bibl","Hit"
"1","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__137 Dieser Satz ist so herrlich ."
"2","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__135 __speaker__135 Jetzt kommt das Problem der Sprache , und jetzt wird es gleich heißen : Nein , es ist herrlich geschrieben , die Übersetzer sind schuld ."
"3","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__141 Also insofern ist es auf der einen Seite ein Krimi , und man kann so hinwegtänzeln und kann sagen : ach herrlich , das kann ich in einer Stunde im Zug lesen ."
"4","1999-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1999","__speaker__135 Diese Episode ist herrlich , aber daraus machen Sie mal später eine Novelle !"
"5","1999-10-29","Gesprochene Sprache","Das Literarische Quartett vom 29. Oktober 1999","__speaker__135 In seinen Romanen sind andere herrlich geschriebene Szenen , das nicht , ja , aber wir müssen weiter gehen : Arnold Stadler , Der hinreißende Schrotthändler ."
"6","1999-09-17","Gesprochene Sprache","56. Sitzung des 14. Bundestages","__speaker__132 Wenn es Millionen wären , dann wäre das herrlich , das wäre ein Taschengeld ."
"7","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 __speaker__135 Ah , der große Dialog im dritten Akt - herrlich , herrlich ."
"8","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 __speaker__135 Ah , der große Dialog im dritten Akt - herrlich , herrlich ."
"9","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 Ich hatte den Eindruck , diese Inszenierung und diese Äußerung , das war alles eine späte Rebellion gegen Gustav Gründgens , der in der Tat den Mephisto herrlich in den Mittelpunkt gestellt hat und zur wichtigsten Figur des Stückes gemacht hat ."
"10","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 __speaker__135 Nun , ich glaube so , je unbenommen , einverstanden , West-östlicher Divan herrlich ."
"11","1999-04-23","Gesprochene Sprache","Das Literarische Quartett vom 23. April 1999","__speaker__135 Im Gegenteil , die Homosexuellen haben - oft genug ist das ja beschrieben worden , vor zwanzig Jahren , vor zehn - , wenn sie Angestellte in einem Kaufhaus waren , dann kamen sie nach dem Wochenende ins Kaufhaus wieder zur Arbeit und haben dort erzählt , wie herrlich sie das Wochenende mit einem Mädchen oder mit zwei verschiedenen Mädchen verbracht haben , um nur den Verdacht der Homosexualität nicht aufkommen zu lassen ."
"12","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 . . Und da gibt es eine erotische Szene , wunderbar , mit dem jungen Arthur , herrlich geschrieben ."
"13","1996-04-26","Gesprochene Sprache","Das Literarische Quartett vom 26. April 1996","__speaker__137 __speaker__137 Also , ich wollte nur sagen , Frau Löffler , hätten Sie eine größere Genugtuung , wenn es in Kuba so grauslich zugeht und die Autoren würden weiter darüber schweigen und würden sagen : Es ist herrlich dort !"
"14","1995-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 1995","__speaker__135 Die Dialoge sind herrlich ."
"15","1995-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 1995","__speaker__135 Er ist ein Meister des Dialogs , die Dialoge sind herrlich , und wir wollen nicht - Herr Karasek hat schon gesagt - JHa : . . . Für den Film haben sie gearbeitet ."
"16","1995-07-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Juli 1995","__speaker__135 Man hat immer unter schrecklichsten Bedingungen geglaubt : Wie wird das herrlich sein , wenn der Augenblick der Freiheit kommt !"
"17","1995-07-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Juli 1995","__speaker__135 Die Vision der Befreiung ist herrlich , die Realität ganz schwierig ."
"18","1993-07-19","Gesprochene Sprache","o.A., ""Ich habe eine ungeheure Wut"", in: Der Spiegel 19.07.1993, S. 141-144","__speaker__556 Das Asylproblem ließ sich schon lange vorher herrlich zu einem Wahlkampfthema anheizen , von cleveren Politikern , die ständig tatenlos über fehlende Werte und Vorbilder bei der Jugend lamentierten ."
"19","1992-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1992","__speaker__135 Und ich darf sagen , dass einer , der die DDR so viele Jahre mitgebaut hat und sie uns heute so herrlich freundlich vorstellt - __speaker__137 Na ja , freundlich ."
"20","1990-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1990","__speaker__135 Der Saal ist herrlich , das Klima schrecklich , es ist hier grimmig kalt ."
"21","1990-12-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Dezember 1990","__speaker__137 Wobei ich überhaupt keinem von Ihnen dreien widersprechen möchte , es ist sicher ein sehr intensives Buch. Nur kommt jetzt schon , wofür Sie sich interessieren - ist natürlich auch eine Art , sich von einem Buch freizusprechen und zu sagen : Ach , wie herrlich leiden Katholiken und Homosexuelle , wie gut , dass ich weder katholisch noch homosexuell bin , __speaker__135 Ich habe nichts . . . __speaker__137 dann muss ich nicht so leiden !"
"22","1990-11-12","Gesprochene Sprache","o.A., ""Ein paar Zähne gehen drauf"", in: Der Spiegel 12.11.1990, S. 58, 61, 63 u. 65","__speaker__433 Es war herrlich ."
"23","1990-10-01","Gesprochene Sprache","Das Literarische Quartett vom 1. Oktober 1990","__speaker__135 Dann sagt er : » Die HJ-Zeit , es war doch herrlich , wie glücklich war ich damals ."
"24","1989-09-28","Gesprochene Sprache","Interview IS001A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Netanja, 1989","__speaker__684 Also sind wir dann da reingekommen zur Empfangsstunde , und er saß voll im Ornat , es gibt ein berühmtes Bild , ( von wem ) ich glaub von Greco , herrlich in diesem lila Ornat , nicht wahr , rot , und macht dann so ."
"25","1989-09-28","Gesprochene Sprache","Interview IS001A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Netanja, 1989","__speaker__684 Ach , es war herrlich ."
"26","1988-09-30","Gesprochene Sprache","Das Literarische Quartett vom 30. September 1988","__speaker__135 Er hat das mit seinen Essays immer wieder bewiesen , es sind herrlich geschriebene Essays innerhalb seines OEuvres , er hat ja auch erzählend schon mal was gemacht ."
"27","1939-06-03","Gesprochene Sprache","o.A., Reportage vom Kameradschaftsabend zur Ehrung der Legion Condor im Haus der Flieger in Hamburg, 03.06.1939","__speaker__336 An hervorragender Stelle hat hier mitgewirkt unser Kamerad , Hauptmann von Morrow , der uns ja auch auf den Flügen nach New York und zurück und auf dem Fluge nach Tokio mit dem Focke-Wulf-Condor begleitet hat und so herrlich geholfen und unterstützt hat ."
"28","1938-12-00","Gesprochene Sprache","o.A., Reportage vom KdF-Schiff ""Wilhelm Gustloff"", 00.12.1938","__speaker__211 Und dass uns dieser herrliche Morgen hier geschenkt ist , auch herrlich dem Wetter nach , denn wir können es gebrauchen , wir haben verschiedene Regentage auf See gehabt ."
"29","1938-09-30","Gesprochene Sprache","o.A., Reportage vom Abflug des britischen Premierministers Chamberlain vom Flughafen München-Oberwiesenfeld nach Unterzeichnung des Münchner Abkommens, 30.09.1938","__speaker__211 Es ist ja schade , dass das herrlich schöne Herbstwetter nicht auch noch an diesem Tage angehalten hat , um dem Ministerpräsidenten Großbritanniens , um auch dem Ministerpräsidenten Frankreichs Monsieur Daladier gewissermaßen das Geleit zu geben , dass sie mit Sonnenschein das Reich verlassen , aber so wird diese Maschine einen schnellen und guten Flug in die Heimat von Mr. Neville Chamberlain haben ."
"30","1938-05-24","Gesprochene Sprache","o.A., Ansprache zur Eröffiiung der Ausstellung ,,Entartete Musik"" im Düsseldorfer Kunstpalast (Vollständige Fassung), 24.05.1938","[...]__speaker__211Wirbekämpfendenzersetzenden,negierenden,eiskaltenScheingeist,derindenletztenJahrzehntenverkündete,dassunsBeethovenundWagnernichtsmehrzusagenhätten,undwirbekennenunszudergroßartigengermanisch-deutschenMusik,derenGeheimnisauchinderSeelentiefedesgrößtendeutschenGeniesundWortdichtersWolfgangGoetherauschte,dereinmalsoherrlichausrief:DerGesanghebtwieeinGeniusgenHimmelundreiztdasbessereIchinunsan,ihnzubegleiten"".DiesesMottoleuchtetvoneinerWandunsererAusstellung,dieseAusstellungimRahmenderReichsmusiktageDüsseldorf1938isthiermiteröffnet. [...]"
"31","1936-08-01","Gesprochene Sprache","o.A., Jugendfeier im Berliner Lustgarten anlässlich der Eröffnung der XI. Olympischen Spiele, 01.08.1936","__speaker__200 In diesem weiten , herrlich offenen Platz des Berliner Lustgartens bewegen ( unverständlich ) sich schon vom Schloss her die Marschblocks der deutschen Jugend ein , zumarschierend auf die breite Treppe des Alten Museums , vorn zu den Männern des Internationalen Olympischen Komitees ."
"32","1933-05-03","Gesprochene Sprache","o.A., Stapellauf des Marine-Segelschulschiffes ""Gorch Fock"" auf der Hamburger Werft Blohm & Voss"", 03.05.1933","__speaker__237 Mit erhobenen Händen stehen die Tausende da , jetzt an den Flaggen vorbei , das Heck taucht ein , eine hohe Flutwelle läuft vor ihm her , herrlich wie dieser Dreimaster jetzt eintaucht in sein Element !"
"33","1933-04-16","Gesprochene Sprache","o.A., Germanische Osterfeier von den ""Sieben Steinhäusern"" bei Fallingbostel, 16.04.1933","__speaker__259 Wir hören den brausenden Opferstoß , herrlich leuchtet die riesige Osterflamme in die dunkelnde Weite , mächtig flackt und flammt ihr Schein inmitten der erhobenen Menschen und glutet über die Hünengräber , die granitenen Grabkammern , die gespenstisch aus vergangener Welt in unsere lichte Zeit herüberdämmern ."
"34","1933-03-21","Gesprochene Sprache","o.A., ""Tag der Nation"" in der Potsdamer Garnisonkirche, 21.03.1933","__speaker__284 45 ' 23 ) Chorgesang ( "" Wo ist ein so herrlich Volk "" , Johannes Brahms ) ( 48 ' 55 ) __speaker__348 Die Pfarrer erheben sich , der Reichspräsident erhebt sich , die Kirche , der Reichspräsident schreitet an der rechten Seite des Altars zur königlichen Gruft ."
"35","1902-11-29","Gesprochene Sprache","Kaiser Wilhelm II, Einweihung der Ruhmeshalle in Görlitz, in: Johann Ernst (Hg.), Reden des Kaisers, München: Deutscher Taschenbuch-Verl. 1966 [29.11.1902], S. 106-107","__speaker__391 Es ist schön und herrlich , wenn ein Volk seine Liebe zu seinen Vätern und zur Krone und deren Träger zum Ausdruck bringt ; allein damit ist es nicht getan ."
