"No.","Date","Genre","Bibl","Hit"
"1","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Er ist in dieser Hinsicht ein ungewöhnlicher Autor der letzten vierzig , fünfzig Jahren , er kann erzählende Prosa und Lyrik , hervorragende Lyrik , schreiben ."
"2","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__135 Schon seine vorangegangen Bücher , der kleine Roman Agnes und der Geschichtenband Blitzeis , über den wir hier gesprochen haben , waren ja hervorragende Prosawerke ."
"3","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__135 __speaker__135 Augenblick mal , hier müssen wir eine Sache klären , eine Sache müssen wir hier ganz klar sagen : Das ist ein ganz großer Könner , der Hürlimann , ein Mann mit großem Talent , ein hervorragender Erzähler , und er hat ein interessantes , sehr bedenkliches Buch geschrieben ."
"4","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__139 Das war ein hervorragender Übersetzer !"
"5","2001-03-05","Gesprochene Sprache","Mestmacher, Christoph / Rosenkranz, Gerd, ""Nicht einfach davonstehlen"", in: Der Spiegel 05.03.2001, S. 26, 28 u. 30","__speaker__26 Er ist ein hervorragender Außenpolitiker , ein großer Europäer und angesehener Repräsentant unseres Landes ."
"6","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__139 Ich halte das sowieso für ein ganz hervorragenden Roman über die Liebe und über die Romantik , und das sind zwei Themen , die bei ihr vital zusammengehören ."
"7","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__139 Das Wichtigste möchte ich gleich nennen : Olga Tokarczuk hat in Ur und andere Zeiten , was übrigens ein hervorragender Titel ist , weil er das Programm des Buches sofort erklärt , hat überhaupt nicht über die Provinz und das Dorf geschrieben , sondern es handelt sich um ein Märchen , um ein Kunstmärchen , vielleicht sogar um einen metaphysisches Märchen ."
"8","2000-08-18","Gesprochene Sprache","Das Literarische Quartett vom 18. August 2000","__speaker__135 . . Es ist ein Skandal , wie die Bücher hervorragender Autoren ins Deutsche übersetzt werden ."
"9","2000-06-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Juni 2000","__speaker__135 Ich hatte immer einen einzigen , aber ganz sicheren hervorragenden Leser , den Zensor , jetzt gibts den auch nicht !"
"10","2000-03-20","Gesprochene Sprache","Halter, Hans, ""Die Ärzte haben versagt"", in: Der Spiegel 20.03.2000, S. 230 u. 232-234","__speaker__497 __speaker__497 Ja , die haben in den USA hervorragende Ergebnisse ."
