"No.","Date","Genre","Bibl","Hit"
"1","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Nein , nein , nein , die sind alle fünf interessant , nur die eine ist hervorragend , die Sache mit dem Stab , mit dem Moses-Stab ist auch eine sehr interessante ."
"2","2000-12-15","Gesprochene Sprache","Das Literarische Quartett vom 15. Dezember 2000","__speaker__135 Und da das Ganze an einem Tag spielt , ist es erzähltechnisch relativ schwierig zu lösen , und das hat Chirbes ganz hervorragend gemacht ."
"3","2000-04-14","Gesprochene Sprache","Das Literarische Quartett vom","__speaker__193 Ich muss ehrlich sagen , ich habe ein großes Problem mit diesem Buch. Ich glaube , Elke Schmitter kann hervorragend schreiben , sie ist sicherlich eine brillante Stilistin ."
"4","2000-02-25","Gesprochene Sprache","Das Literarische Quartett vom 25. Februar 2000","__speaker__136 Diese Geschichte , mit diesem Dingsymbol drinnen , die fand ich schon ganz hervorragend , die ist auch wunderbar durchgearbeitet , die läuft auch in einer Stringenz dann auf eine Pointe zu , die fand ich ganz ausgezeichnet ."
"5","2000-02-25","Gesprochene Sprache","Das Literarische Quartett vom 25. Februar 2000","__speaker__135 Die ganze Beziehung zwischen Deutschen und Juden , die ganze Vergangenheit , die gezeigt wird , aber das zeigt er hervorragend ."
"6","1999-10-29","Gesprochene Sprache","Das Literarische Quartett vom 29. Oktober 1999","__speaker__135 Mir gefällt an dem Roman , dass es nicht jenen Wahn enthält , der bei Bernhard ja immer wieder das ist , hervorragend bei ihm - sondern dass es mit einer gewissen , wenn ich mir ein Klischee erlauben darf , österreichischen Leichtigkeit geschrieben ist ."
"7","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__136 Und die wird in der Harzreise im Winter , finde ich , ganz hervorragend benannt ."
"8","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__137 Für mich ist es dieses Buch , und aus diesem Labyrinth kommt für mich nichts mehr raus , was Sie wunderbar politisch über das Buch erzählen , das ist der Tod dieser politischen Schilderung einer Agonie , die er im letzten Buch noch hervorragend geliefert hat ."
"9","1999-07-02","Gesprochene Sprache","40. Sitzung des 14. Bundestages","__speaker__71 Die CDU/CSU wird dem Antrag der Bundesregierung zustimmen , . . . weil wir wissen , daß wir dem Elend , der himmelschreienden Not der aus dem Kosovo Vertriebenen begegnen müssen , weil ihm ohne Mitwirkung weiterer militärischer Verbände nicht abgeholfen werden kann , weil die Bundesrepublik Deutschland dazu ihren Beitrag leisten muß und weil die Bundeswehr , wie sie durch ihre bisherige Arbeit in Mazedonien eindrucksvoll unter Beweis gestellt hat , für diese Aufgabe hervorragend geeignet ist , wofür ich ihr an dieser Stelle ausdrücklich unsere große Hochachtung und unseren herzlichen Dank ausdrücken möchte ."
"10","1999-07-02","Gesprochene Sprache","40. Sitzung des 14. Bundestages","__speaker__89 Ich finde es hervorragend , daß Sie dazu den Mut hatten ."
"11","1999-07-02","Gesprochene Sprache","40. Sitzung des 14. Bundestages","__speaker__93 . . Das war hervorragend ."
"12","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__136 Aber dort , wo er sich auskennt , sind diese Geschichten ganz hervorragend ."
