"No.","Date","Genre","Bibl","Hit"
"1","1998-10-30","Gesprochene Sprache","Das Literarische Quartett vom 30. Oktober 1998","__speaker__135 __speaker__135 Aus so einem prächtigen Bau kam das Literarische Quartett noch nie ."
"2","1994-03-31","Gesprochene Sprache","Das Literarische Quartett vom 31. März 1994","__speaker__141 Das Einzige , was er sagt , Terborch hat prächtige Bilder gemalt , herrliche Frauen in prunkvollen Gewändern , aber er kannte auch die Armut ."
"3","1961-08-18","Gesprochene Sprache","Ulbricht, Walter, Rundfunk- und Fernsehansprache zu den Maßnahmen am 13. August 1961 am 18.08.1961","__speaker__389 Doch zuvor drängt es mich , den prächtigen Söhnen und Töchtern unserer Werktätigen , die gegenwärtig Uniform tragen , den prächtigen Jungen in der Volksarmee und der Volkspolizei , den Unteroffizieren , Offizieren und Generalen unserer bewaffneten Kräfte im Namen des Staatsrates , im Namen der Regierung der Deutschen Demokratischen Republik und im Namen der Partei der Arbeiterklasse herzlichen Dank zu sagen ."
"4","1961-08-18","Gesprochene Sprache","Ulbricht, Walter, Rundfunk- und Fernsehansprache zu den Maßnahmen am 13. August 1961 am 18.08.1961","__speaker__389 Doch zuvor drängt es mich , den prächtigen Söhnen und Töchtern unserer Werktätigen , die gegenwärtig Uniform tragen , den prächtigen Jungen in der Volksarmee und der Volkspolizei , den Unteroffizieren , Offizieren und Generalen unserer bewaffneten Kräfte im Namen des Staatsrates , im Namen der Regierung der Deutschen Demokratischen Republik und im Namen der Partei der Arbeiterklasse herzlichen Dank zu sagen ."
"5","1940-09-01","Gesprochene Sprache","o.A., Feierstunde in Krakau: Umbenennung des Platzes an den Tuchhallen in Adolf-Hitler-Platz, 01.09.1940","__speaker__298 Die festgefügten Bürgerhäuser , die erhabene Marienkirche , die prächtigen Tuchhallen , der ragende Rathausturm ."
"6","1940-04-20","Gesprochene Sprache","o.A., Ansprache zur Gründung des Instituts für deutsche Ostarbeit in Krakau, 20.04.1940","__speaker__200 Die Hauptstadt des Generalgouvernements trägt an diesem Tage ein wirklich festliches Kleid in den Straßen , und wir sind nun heute hier in der alten Krakauer Universität , dem berühmten Gebäude der jagiellonischen Bibliothek , dessen wunderbarer prächtiger , wirklich einzigartiger gotischer Arkadenhof geschmückt ist von grünen Tannen ."
"7","1940-04-19","Gesprochene Sprache","o.A., Großkundgebung der Volksdeutschen auf der Burg in Krakau anlässlich des Geburtstages von Adolf Hitler, 19.04.1940","__speaker__200 Überall stehen hohe Fahnenmaste , Pylonen mit dem Flaggen- und Fahnenbündel und sie ergeben einen wunderbaren Zusammenklang mit der prächtigen alten deutschen Architektur der Stadt Krakau ."
"8","1940-04-19","Gesprochene Sprache","o.A., Großkundgebung der Volksdeutschen auf der Burg in Krakau anlässlich des Geburtstages von Adolf Hitler, 19.04.1940","__speaker__200 Nun sind die Menschen hier in dem prächtigen alten deutschen Turnierhof versammelt ."
"9","1940-04-19","Gesprochene Sprache","o.A., Großkundgebung der Volksdeutschen auf der Burg in Krakau anlässlich des Geburtstages von Adolf Hitler, 19.04.1940","__speaker__200 Der Glanz und das Licht der Fackeln spielt mit bunten und leuchtenden Reflexen in dem hellen Gemäuer hier , in der prächtigen alten Architektur ."
"10","1940-04-19","Gesprochene Sprache","o.A., Großkundgebung der Volksdeutschen auf der Burg in Krakau anlässlich des Geburtstages von Adolf Hitler, 19.04.1940","__speaker__200 Veranstaltungen ganz anderer Art hier oben im großen prächtigen Thronsaal der Burg zu Krakau ."
"11","1938-05-26","Gesprochene Sprache","o.A., Grundsteinlegung des Volkswagenwerkes bei Fallersleben am Mittellandkanal, 26.05.1938","__speaker__200 Die drei herrlichen , prächtigen Wunderwerke deutscher Technik stehen in strahlendem Sonnenschein hier vor uns ."
"12","1936-10-25","Gesprochene Sprache","o.A., Eröffnung der ""Woche des Deutschen Buches"" in der Weimarhalle in Weimar, 25.10.1936","__speaker__380 So darf ich wohl , lieber Parteigenosse Dr. Goebbels , meines und meines Gaues Verbundenheit und unseren Dank und unsere Freude Ihnen und den Schöpfern und Gestaltern des deutschen Buches darf ich nochmals zum Ausdruck bringen , indem ich mit den prächtigen Worten des Parteigenossen Johst am Schlusse seines Buches "" Maske und Gedicht "" schließe , die uns wie jubelnde Erfüllung klingen : Und Volk und Führer sind vermählt , das dritte Reich versteint , gestählt , steht festgefügt im Morgenland , und dort als festlichste Monstranz dein glückliches Gesicht , mein Führer ."
"13","1936-08-01","Gesprochene Sprache","o.A., Jugendfeier im Berliner Lustgarten anlässlich der Eröffnung der XI. Olympischen Spiele, 01.08.1936","__speaker__200 Vor der Front des Berliner Schlosses steht der riesige olympische Altar , ein riesiger Block mit weiter breiter Schale für das olympische Feuer , dahinter eine prächtige Wand gebildet aus den Flaggen der an Olympia teilnehmenden Nationen ."
"14","1933-07-30","Gesprochene Sprache","o.A., Abschlussfeier des 15. Deutschen Turnfestes in Stuttgart, 30.07.1933","__speaker__200 flankiert von prächtigen Florettmädeln und viertausend Fahnen warten , dass sie dem Bundesbanner folgen können ."
