"No.","Date","Genre","Bibl","Hit"
"1","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Antje Kunstmann macht seit zwanzig , fünfundzwanzig Jahren einen mittlerweile ganz vorzüglichen Verlag , wir können das sagen , denn wir haben zahlreiche Bücher aus dem Verlag von Antje Kunstmann hier bei uns im Literarischen Quartett erörtert ."
"2","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__135 Ich erlaube mir - hoffentlich ohne allzu regen Widerspruch zu provozieren - zu sagen , das ist ein vorzüglicher , traditionell geschriebener Roman , nicht der einzige traditionell geschriebene Roman heute Abend ."
"3","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__135 __speaker__135 Hier ist ein Angeklagter , seine Situation ist schlecht , des Angeklagten , und Sie kommen mit einer vorzüglichen Verteidigung ."
"4","1993-10-21","Gesprochene Sprache","Das Literarische Quartett vom 21. Oktober 1993","__speaker__135 Und die besten Kenner des Englischen sagen : sprachlich vorzügliche Romane ."
"5","1993-08-15","Gesprochene Sprache","Das Literarische Quartett vom 15. August 1993","__speaker__191 . . __speaker__135 Sie haben von uns gehört , dass das ein vorzügliches , wunderbares Buch ist ."
"6","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__135 Aber es hat doch Gründe , dass Frau Löffler , die einen so vorzüglichen literarischen Geschmack hat , ein solches Buch lobt ."
"7","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__135 HKo : Das ist eine vorzügliche Sache ."
"8","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__135 Seine Kritiken , die er im New Yorker schreibt , zeigen ihn als vorzüglichen Kenner der modernen Literatur ."
"9","1991-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1991","__speaker__135 Ein vorzüglicher Wissenschaftler , der zugleich ein Schriftsteller ist , wie es nur wenige gibt , und ein Schriftsteller , der ein Gelehrter ist ."
"10","1990-02-12","Gesprochene Sprache","Das Literarische Quartett vom 12. Februar 1990","__speaker__135 Und was wir nicht vergessen wollen , er ist der Autor einer ganz vorzüglichen Serie im deutschen Fernsehen , Liebling Kreuzberg ."
"11","1989-03-10","Gesprochene Sprache","Das Literarische Quartett vom 10. März 1989","__speaker__135 Es ist eine Kulturgeschichte der Zigarre , des Tabaks , der Zigarre , eigentlich eine regelrechte Kulturgeschichte , ein Sachbuch , von einem vorzüglichen Stilisten geschrieben ."
