"No.","Date","Genre","Bibl","Hit"
"1","2000-10-27","Gesprochene Sprache","Das Literarische Quartett vom 27. Oktober 2000","__speaker__135 Das Handwerk beherrscht diese Dame ganz vorzüglich ."
"2","2000-04-14","Gesprochene Sprache","Das Literarische Quartett vom","__speaker__193 __speaker__193 Aber diesen Betrug , wenn er denn so stattgefunden hat , können sie ja schlecht den Geschichten zur Last legen , die Geschichten sind einfach vorzüglich und wunderbar ."
"3","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__135 . . . . . Das war vorzüglich , was Sie über Schnitzler und diese drei Geschichten erzählt haben ."
"4","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__136 Aber das ist sozusagen das , was er immer geschrieben hat und was er vorzüglich kann ."
"5","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__136 Der erste Teil ist vorzüglich , der erfundene , der fiktionalisierte Teil , wo auch Zuckermann nicht mehr vorkommt , sondern wo er einen Helden sich erträumen muss ."
"6","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__159 Ich will zum Schluss nur sagen , eine wertende Sache sei erlaubt : Angela Drescher hat diese Tagebücher herausgegeben , und ich finde , sie hat das vorzüglich gemacht ."
"7","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__137 Es gibt auch hier Formen von Liebesverrat , das ist ganz vorzüglich gemacht ."
"8","1992-11-19","Gesprochene Sprache","Das Literarische Quartett vom 19. November 1992","__speaker__135 __speaker__135 Ja , das ist so , wie wenn Sie sagen würden : » Das Parfüm ist vorzüglich , aber leider riecht es schlecht !"
"9","1989-03-10","Gesprochene Sprache","Das Literarische Quartett vom 10. März 1989","__speaker__135 Allein , es beweist , dass die Autorin vorzüglich schreiben kann ."
"10","1935-11-17","Gesprochene Sprache","o.A., Schlusssitzung des Dritten Reichsbauerntages in Goslar, 17.11.1935","__speaker__353 Hätte Stein seinen Willen verwirklichen können oder solche Nachfolger gefunden wie Scharnhorst in der Armee - ich denke hier an die leuchtenden Vorbilder eines Moltke und Schlieffen - , dann wäre das Unglücksjahr 1918 unmöglich gewesen , denn dann wäre 1914 der Wehrstand der Nation untermauert gewesen von einem ebenso vollkommen ausgebauten und ebenso vorzüglich geführten Nährstand ( Beifall ) Zwar haben Tausende von mehr oder weniger klugen Köpfen die Tatsache erkannt und auch große Bücher darüber geschrieben , dass uns 1918 der Hunger auf die Knie gezwungen hatte ."
