"No.","Date","Genre","Bibl","Hit"
"1","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__137 Das muss man auch aus dem Tagebuch erfahren und das beginnt mit dem » Bergwerk von Falun « . Diese Geschichte , die schon Bloch , diese wunderbare von dem Mann im Salz , der seiner Verlobten weggekommen ist , darüber gibt es die sehr schöne Konkretisierung von Max Frisch , von Bloch , als Prinzip Hoffnung ."
"2","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__135 Da wird ohne diese schreckliche Nostalgie nach der wunderbaren DDR - das ist ohne Nostalgie , ist ganz hart geschrieben , auch , was er über antike Autoren schreibt ."
"3","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__137 Ich habe selbst in einer so wunderbaren Geschichte wie der Titelgeschichte auch kleine Manierismen entdeckt , da heißt es also beispielsweise » Ich schaute zurück und sagte « , und dann heißt es drei Sätze weiter wieder » Nein , ich sagte und schaute zurück « - und ich überlege mir , es ist nur , um seine Kunststücke vorzuführen ."
"4","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__139 Ich finde wunderbare Sachen und ganz , ganz schreckliche Geschichten da drin , und das kriegt man überhaupt nicht zusammen ."
"5","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__138 Ich sehe eine , die absolut konträr gesetzt ist , nämlich dieses Buch ist von einer wunderbaren Ambivalenz in allen Themen , die es anspricht ."
"6","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__137 __speaker__137 Ich empfehle neben dem Wellershoff , der uns für die Liebesromane von Goethe an eine wirklich wunderbare Hilfe , ein Wegbereiter und Wegbegleiter ist , ein ganz leichtes Buch von Moritz Rinke , es hat auch einen Wal zum Helden : Der Blauwal im Kirschgarten und enthält ungeheuer leichtfüßige und gerade deshalb tiefsinnige Glossen , die ein großes , leichtes Lesevergnügen sind , wenn wir den Werther und den Melville zur Seite gelegt haben ."
"7","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__137 Rainer Merkel ist ein sehr trauriges und ein sehr komisches Buch gelungen über einen Versager , der durchs medizinische Examen , durchs Physikum fällt , dabei auch gleich seine Freundin mit verliert , weil die mit ihm durchs Physikum kracht , der Freunde hat , und die sagen : » Komm doch in die wunderbare Welt der Werbung ."
"8","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__179 Aber im Prinzip ein wunderbares Buch. __speaker__139 Ja , ja , es ist ein wunderbares Buch , aber es lebt wirklich von einer Zweiteilung der Welt , die finde ich nicht nur für die Leser klischeehaft , sondern die ist schon klischeehaft angelegt ."
"9","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__179 Aber im Prinzip ein wunderbares Buch. __speaker__139 Ja , ja , es ist ein wunderbares Buch , aber es lebt wirklich von einer Zweiteilung der Welt , die finde ich nicht nur für die Leser klischeehaft , sondern die ist schon klischeehaft angelegt ."
"10","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__179 Ich glaube , dass Hürlimann das unterirdische Wirken des Antisemitismus in der Schweiz schildert und eine teilweise Anpassung von jüdischen Leuten , die getauft wurden und die inzwischen ihre jüdische Herkunft verheimlichen , weil sie sich anpassen wollen in der wunderbaren Schweiz. Dies ist sozusagen auch ein später Sieg des Antisemitismus , der hier geschildert wird , und nicht - __speaker__135 . . Herr Schindel !"
"11","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__135 Es sind wunderbare Kapitel , ich sagte schon , die letzten da - __speaker__137 Ja , das Wort » Fehlgriff « und » misslungen « sind beides viel zu starke Worte ."
"12","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__139 Diese Wesenlosigkeit , diese Bedeutungslosigkeit in dem Leben , das finde ich ein wunderbares - also das wäre schon meine Deutung - , eigentlich auch ein wunderbares Porträt eines bestimmten nachintellektuellen Daseins ."
"13","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__139 Diese Wesenlosigkeit , diese Bedeutungslosigkeit in dem Leben , das finde ich ein wunderbares - also das wäre schon meine Deutung - , eigentlich auch ein wunderbares Porträt eines bestimmten nachintellektuellen Daseins ."
"14","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__137 Diese Freundin , die ihn verlässt , ein wunderbares Porträt einer Achtundsechzigerin ."
"15","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__137 Also , es sind wunderbare Porträts von Spätachtundsechzigern ."
