"No.","Date","Genre","Bibl","Hit"
"1","2001-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 2001","__speaker__139 » Ja , auch gut « , » aber das Telefongespräch wird jetzt so teuer « und . . . dass es dann - das macht er wunderbar ."
"2","2001-10-19","Gesprochene Sprache","Das Literarische Quartett vom 19. Oktober 2001","__speaker__135 Das funktioniert wunderbar , die Erzählung setzt aus in dem Augenblick , wo der Erzähler nicht mehr von sich spricht , sondern von anderen ."
"3","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__139 Diese beiden Welten , Sie haben das ja wunderbar gesagt : Da ist einerseits dieser schnüffelnde Jude , der den Frauen unter die Röcke kriecht oder schnüffelt , unter den Röcken schnüffelt ."
"4","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__137 Aber dieses Buch ist so wunderbar authentisch ."
"5","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__170 Was die Sache zusammenhält und so toll und wunderbar macht , ist nichts anderes als der Ton ."
"6","2001-06-22","Gesprochene Sprache","Das Literarische Quartett vom 22. Juni 2001","__speaker__170 Es ist eine Melodie in dem Buch , die wunderbar ist und die nur die Literatur schafft , kein Film , keine Seifenoper , nichts kann das ersetzen ."
"7","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Ich habe darunter gelitten , viele haben über mein Buch wunderbar geschrieben , nur eins haben sie nicht gelesen , den Titel : Mein Leben ."
"8","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Ich finde diese Geschichten ganz wunderbar ."
"9","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Er gehört nicht - natürlich nicht Nabokov , Nabokov ist ja kein Russe , er ist nur Halbrusse - die Hälfte ist ja amerikanisch , aber er ist nun gar nicht prüde , nichts Obszönes , aber es wird alles deutlich wunderbar gesagt ."
"10","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Was Sie eben gesagt haben , das ist wunderbar !"
