"No.","Date","Genre","Bibl","Hit"
"1","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__139 Es endet mit dem wunderschönen Satz : » Es wird wieder dunkel und es wird wieder hell. « Und so wird es immer weitergehen ."
"2","2001-08-17","Gesprochene Sprache","Das Literarische Quartett vom 17. August 2001","__speaker__179 __speaker__179 Das Interessante an diesem Buch ist , dass es neben diesen Aperçus und den wunderschönen Geschichten einer Adoleszenz eine gewaltige Geschichtsverleugnung ist ."
"3","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__137 Und Kundera hat dafür eine wunderschöne Geschichte , nämlich zwei Jugendfreunde treffen sich und versuchen noch mal da anzuknüpfen , wo sie weggegangen sind , und es klappt nicht ."
"4","2000-08-18","Gesprochene Sprache","Das Literarische Quartett vom 18. August 2000","__speaker__137 Sie beschreibt die wunderschönen Hände dieses Mannes , sie beschreibt sein - __speaker__139 . . Nein , nein , nein , sie beschreibt mehr oder weniger , wie ekelhaft sie ihn findet ."
"5","2000-04-14","Gesprochene Sprache","Das Literarische Quartett vom","__speaker__193 Er ist , nebenbei , bei jüngeren deutschen Autoren , bei den guten jüngeren deutschen Autoren , sehr beliebt , er war ein Vorbild von Ingo Schulze in den Simple Storys , und er ist auch als Vorbild genannt worden von Judith Hermann in dem wunderschönen Erzählungsband Sommerhaus , später ."
"6","2000-02-25","Gesprochene Sprache","Das Literarische Quartett vom 25. Februar 2000","__speaker__138 Also bei den Männern ist es - also Peter Ustinov hat ein wunderschönes Stück daraus gemacht , wo das aber nur ganz kurz angedeutet wird - Endspurt zum Schluss ."
"7","1999-07-02","Gesprochene Sprache","40. Sitzung des 14. Bundestages","__speaker__73 Aber es geht nicht , daß Bündnis 90/Die Grünen sagen das hat auch der Kollege Schlauch getan , sie seien eine Partei , in der jeder zerrissen ist , die Partei als Ganzes aber nicht wunderschöne Formel , und gleichzeitig so tun , als unterstelle man denen , die aus Verantwortungsbewußtsein , aber mit sehr , sehr großen Bauchschmerzen ob der Form , ob der Darstellungen und ob des Zeitpunktes zustimmen , sie seien diejenigen , die hier moralisch nicht tiefer nachdenken würden ."
"8","1999-04-23","Gesprochene Sprache","Das Literarische Quartett vom 23. April 1999","__speaker__137 __speaker__137 Zu dieser Leidenschaft möchte ich sagen , das Buch hat ein wunderschönes Thema , nämlich das Thema , dass man einem Traum von Liebe , der hier in der Kindheit liegt - man muss sagen , sie sind Zwölfjährige und Vierzehnjährige , dass dieser Traum ein paar beglückende Minuten hat , und dass dem ein Leben lang nachgejagt wird , man will ihn wiederfinden , man will ihn vier Jahre später wiederfinden , man will ihn zwanzig Jahre später und so weiter und so fort ."
"9","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__137 Es gibt dafür wunderschöne Beispiele ."
"10","1997-10-13","Gesprochene Sprache","Mettke, Jörg R., ""Bis zum siegreichen Ende"", in: Der Spiegel 13.10.1997, S. 224, 226, 228 u. 231","__speaker__606 Ich war hinlänglich oft in diesen sogenannten Korridoren der Macht , um mich davon zu überzeugen : Dieser große , wunderschöne Gebäudekomplex ist über die Jahrhunderte hinweg so sehr mit Bösem gesättigt , daß es unmöglich ist , darin etwas Positives zu schaffen ."
"11","1996-11-11","Gesprochene Sprache","o.A., ""Wie am Lagerfeuer"", in: Der Spiegel 11.11.1996, S. 142-144","__speaker__507 Der Commercial basierte auf dem Song "" Like a Prayer "" . Es war eine wunderschöne Arbeit ."
"12","1996-11-11","Gesprochene Sprache","o.A., ""Wie am Lagerfeuer"", in: Der Spiegel 11.11.1996, S. 142-144","__speaker__507 Man braust immer wieder auf diesen wunderschönen Straßen umher , um zur nächstgelegenen Erlösung zu gelangen ."
"13","1995-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 1995","__speaker__135 __speaker__135 Das Literarische Quartett kommt heute aus Wien , aus dem wunderschönen - so hat man mir gesagt , ich soll das so nennen - , aus dem wunderschönen Palais Harrach ."
"14","1995-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 1995","__speaker__135 __speaker__135 Das Literarische Quartett kommt heute aus Wien , aus dem wunderschönen - so hat man mir gesagt , ich soll das so nennen - , aus dem wunderschönen Palais Harrach ."
"15","1995-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 1995","__speaker__137 Was mir an dem Buch sehr gefallen hat , es ist sehr elegant , es ist sehr witzig geschrieben , und es hat einen wirklich wunderschönen Diskurs darüber , dass der Teufel in der Welt notwendig ist ."
"16","1995-12-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Dezember 1995","__speaker__136 __speaker__136 Sie hat so wunderschöne frühbarocke Passagen drinnen , die ganz köstlich sind ."
"17","1994-05-26","Gesprochene Sprache","Das Literarische Quartett vom 26. Mai 1994","__speaker__137 Darüber gibt es einen wunderschönen Brief von Lichtenberg ."
"18","1993-10-21","Gesprochene Sprache","Das Literarische Quartett vom 21. Oktober 1993","__speaker__137 __speaker__137 Und dann hat ihn der Designer angerufen und gesagt : » Ich habe ein wunderschönes rundes O mit einer 2 , und darüber schreibst du mir ein Buch. « __speaker__135 Nein , nein , das ist schon eine Unterstellung ."
"19","1993-05-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Mai 1993","__speaker__163 __speaker__163 In einem solchen Roman kommt am Schluss vor , da wird ein Professor interviewt von einer wunderschönen indischen Fernsehinterviewerin ."
"20","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__137 Das ist eine ganz wunderschöne Geschichte ."
"21","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__137 Das ist eigentlich sehr traurig , ein wunderschönes Feuilleton , hat aber mit der Qualität der übrigen Geschichten nichts gemein ."
"22","1991-05-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Mai 1991","__speaker__136 __speaker__136 Also , wenn Sie Tom Wolfe , das Fegefeuer der Eitelkeiten gelesen hätten , hätten Sie ein wunderschönes Beispiel für einen gelungenen New-York-Roman ."
"23","1990-02-12","Gesprochene Sprache","Das Literarische Quartett vom 12. Februar 1990","__speaker__137 Das Buch ist also von einem Realitätsverlust - da liegt also beispielsweise einer der Helden , der Ich-Erzähler , in Südamerika mit einer wunderschönen Frau im Bett , und was machen sie ?"
"24","1989-03-10","Gesprochene Sprache","Das Literarische Quartett vom 10. März 1989","__speaker__137 Ernst Bloch gibt dafür ein wunderschönes Beispiel ."
"25","1989-03-06","Gesprochene Sprache","o.A., ""Alles total unprofessionell"", in: Der Spiegel 06.03.1989, S. 227, 229, 232 u. 227","__speaker__503 Da habe ich wunderschöne Vorstellungen gesehen und gehört von den Wiener Philharmonikern ."
"26","1942-01-04","Gesprochene Sprache","o.A., Feierstunde in Posen zur Eröffnung des Osteinsatzes und des Landdienstes der Jugend, 04.01.1942","__speaker__207 Ich denke nur an die Begründung der Reichsuniversität und an die Schaffung der Reichsstiftung für die Ostforschung , ich denke nur an dieses wunderschöne Haus , das nicht nur ein Ausdruck des geistigen sondern auch des kulturellen Mittelpunktes im Osten ist ."
"27","1940-10-05","Gesprochene Sprache","o.A., Kundgebung in Warschau anlässlich der Eröffnung des Kriegswinterhilfswerks 1940/41 im Generalgouvernement, 05.10.1940","__speaker__220 Es würde ja jeder lachen , wenn heute noch in diesem deutschen Volk jemand wagen sollte , die Fahnen von früher aufzuziehen , oder wenn einer käme und sagte , mein Gott , eigentlich war doch die rote Fahne mit dem Zeichen des Kommunismus eine wunderschöne Fahne , wenn wir sie doch nur wieder hätten ."
"28","1938-03-18","Gesprochene Sprache","Hitler, Adolf, Ein Volk, ein Reich. Deutschland! Sieg Heil!, in: Rede des Führers und Reichskanzlers Adolf Hitler vor dem Reichstag am 18. März 1938","__speaker__284 Ich wollte unendliches Unglück und Leid diesem wunderschönen Lande ersparen ."
"29","1935-09-14","Gesprochene Sprache","o.A., Reichsparteitag der NSDAP in der Nürnberger Kongresshalle, 14.09.1935","__speaker__221 Jugoslawien als letztes Beispiel : Wie die Pyramiden der Geschichte von den Pharaonen erzählen und die Römerstraßen von der Macht der römischen Kaiser Zeugnis ablegen , so werden die wunderschönen Automobilstraßen das deutsche Volk ewig an die ungewöhnlichste Persönlichkeit seiner Geschichte erinnern , an einen Volksgenossen ohne Namen und Stellung , welcher aus nichts und ohne Hilfe von außen , nur durch eigene Kraft ein neues Reich geschaffen und seinen Willen dem Schicksal eines ganzen Volkes eingeprägt hat ."
"30","1935-09-10","Gesprochene Sprache","o.A., Empfang von Prominenz aus Partei und Staat im Nürnberger Rathaussaal anläßlich des Reichsparteitags der NSDAP, 10.09.1935","__speaker__284 Ich danke Ihnen , Herr Oberbürgermeister , noch einmal für diesen Empfang und für das wunderschöne Geschenk und bitte Sie alle , der alten Stadt der Reichsparteitage unseren deutschen Gruß zuzurufen : Nürnberg - Heil !"
