"No.","Date","Genre","Bibl","Hit"
"1","2000-08-18","Gesprochene Sprache","Das Literarische Quartett vom 18. August 2000","__speaker__137 Es ist wunderschön , wie er klein setzt : Dann trafen sich Grotewohl und der , oder dann starb Grotewohl - __speaker__135 . . Das wird so abgehakt , alles , die ganze Geschichte ."
"2","1999-07-02","Gesprochene Sprache","40. Sitzung des 14. Bundestages","__speaker__72 Es bleibt natürlich die Frage : Wie sehen die Regelungen bezüglich der Sicherheitstruppe hier heißt es wunderschön ausgedrückt Sicherheitspräsenzen , noch dazu also im Plural aus ?"
"3","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__137 Und alle bewundern sie , weil sie wunderschön ist , sagen aber etwa , man kann sie nicht aufnehmen ."
"4","1997-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1997","__speaker__137 Kommen wir dazu , dass er also beispielsweise schreibt , Kalypso , immerhin eine Göttin , ist so wunderschön , sie ist so schön , dass die Kellner sie in den Restaurants nicht bedienen , weil sie zu schön ist !"
"5","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__137 Es gibt eine Definition von » Narziss « in dem Buch , und da sagt Handke - __speaker__143 Ja , wunderschön , wunderschön ."
"6","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__137 Es gibt eine Definition von » Narziss « in dem Buch , und da sagt Handke - __speaker__143 Ja , wunderschön , wunderschön ."
"7","1993-12-13","Gesprochene Sprache","o.A., ""ICH LIEBE DAS ABENTEUER"", in: Der Spiegel 13.12.1993, S. 206-208","__speaker__563 Sie ist wunderschön , sie ist explosiv , sie wird ihren Weg machen ."
"8","1992-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1992","__speaker__136 Jetzt haben Sie es wirklich wunderschön bewiesen ."
"9","1992-03-05","Gesprochene Sprache","Das Literarische Quartett vom 5. März 1992","__speaker__151 Er arbeitet mit der ziellosen Autofahrt - Sie haben das wunderschön dargestellt - , aber es ist leider nichts dahinter ."
"10","1990-10-01","Gesprochene Sprache","Das Literarische Quartett vom 1. Oktober 1990","__speaker__137 __speaker__137 . . Ja , die ist wunderschön , ja ."
"11","1988-09-30","Gesprochene Sprache","Das Literarische Quartett vom 30. September 1988","__speaker__138 Aber davon mal abgesehen , nein , ich finde , die Sprache hat mich gestört , und mich hat dieses Serielle gestört , wie da so - was Sie jetzt Metamorphosen nennen , ist essayistisch wunderschön vorstellbar ."
"12","1939-01-15","Gesprochene Sprache","o.A., Kundgebung im Berliner Sportpalast mit Gauleiter Streicher und dem italienischen Minister Farinacci zur Judenfrage, 15.01.1939","__speaker__239 Wie wunderschön hat dieser Mann , der , ich möchte sagen , im vielen , ich darf da mich vergleichen , dasselbe schwere Leben durchmachen musste in seinem Kampfe für Mussolini , im Faschismus , dieser Mann hat heute in so wunderbarer Weise von einem tiefen Herzen getragen uns dargelegt , dass eigentlich Mussolini und das neue Italien schon zu einer Zeit , wo wir gar nicht daran dachten , für uns dachte , und Gutes tat für uns ."
"13","1937-09-27","Gesprochene Sprache","o.A., Reportage vom Besuch Mussolinis in Essen, 27.09.1937","__speaker__200 straße , durch diesen wunderschön geschmückten Bahnhofsvorplatz , aus dem hier , plötzlich aus dem Boden gewachsen , die Ehrensäulen aus frischem Tannengrün aufragen ."
"14","1937-09-27","Gesprochene Sprache","o.A., Reportage vom Besuch Mussolinis in Essen, 27.09.1937","__speaker__200 Anders ist das Bild , wie gesagt : die Sonne steht höher als am Morgen , sie ist wunderschön , sie ist eigentlich noch schöner geworden als heute morgen !"
"15","1930-05-16","Gesprochene Sprache","Laven, Paul, Reportage vom Fußball-Länderkampf Deutschland gegen England im Berliner Stadion, 16.05.1930","__speaker__250 In der Hitze des Gefechtes hat niemand feststellen können , ob irgendeine Regelwidrigkeit vorliegt , aber wohl kaum , auch die Engländer machen keinerlei Miene , gegen Pöttinger zu protestieren ( Teil fehlt ) Fünf Meter vor der Strafraumlinie , wunderschön getreten vors Tor , die Engländer köpfen den hohen Ball sicher und ohne einen Deutschen herankommen lassend ins Feld zurück ."
